"PERSON_ID","Job_42","insee","SEX","IS_STUDENT","household_type","AGE_2018","activity_type","Highest_diploma","target"
1,"csp_7_8","01001","Male",FALSE,"TYPEMR_4_4",75,"act-2-1","EDUC1.1",82.3589
2,"csp_8_6","01001","Female",FALSE,"TYPEMR_1_2",95,"act-2-1","EDUC1",81.6192
3,"csp_3_1","01001","Male",FALSE,"TYPEMR_4_1",63,"act-1-1","EDUC1.8",58.3912
6,"csp_5_2","01004","Male",FALSE,"TYPEMR_4_1",48,"act-1-1","EDUC1.3",83.6962
11,"csp_4_7","01004","Female",TRUE,"TYPEMR_1_2",30,"act-1-1","EDUC1.8",44.1194
13,"csp_7_8","01004","Female",FALSE,"TYPEMR_1_2",94,"act-2-1","EDUC1.1",71.8895
16,"csp_8_5","01004","Male",TRUE,"TYPEMR_4_2",15,"act-2-2","EDUC3",64.0062
17,"csp_6_2","01004","Female",FALSE,"TYPEMR_4_1",60,"act-1-1","EDUC1.6",87.4289
20,"csp_6_5","01004","Male",FALSE,"TYPEMR_4_4",25,"act-1-2","EDUC1.3",69.711
22,"csp_7_7","01004","Male",FALSE,"TYPEMR_4_4",86,"act-2-1","EDUC1.1",76.1572
23,"csp_6_3","01004","Male",FALSE,"TYPEMR_4_1",37,"act-1-1","EDUC1.4",69.3812
24,"csp_7_7","01004","Female",FALSE,"TYPEMR_3_2",93,"act-2-1","EDUC1",73.8829
25,"csp_4_7","01004","Male",FALSE,"TYPEMR_1_1",31,"act-1-1","EDUC1.6",60.8073
26,"csp_4_5","01004","Male",FALSE,"TYPEMR_4_1",44,"act-1-1","EDUC1.7",70.2702
31,"csp_7_7","01007","Female",FALSE,"TYPEMR_4_4",102,"act-2-1","EDUC1.4",89.9773
41,"csp_6_8","01017","Male",FALSE,"TYPEMR_1_1",55,"act-1-1","EDUC1.3",81.932
43,"csp_5_2","01024","Male",FALSE,"TYPEMR_4_1",32,"act-1-1","EDUC1.5",91.6772
45,"csp_6_3","01024","Male",FALSE,"TYPEMR_4_4",47,"act-1-2","EDUC1.1",74.6351
46,"csp_8_4","01025","Male",TRUE,"TYPEMR_4_1",17,"act-2-2","EDUC1.2",95.5012
48,"csp_7_5","01025","Female",FALSE,"TYPEMR_4_4",68,"act-2-1","EDUC1.7",81.4796
54,"csp_8_1","01029","Male",FALSE,"TYPEMR_3_2",22,"act-1-2","EDUC3",84.0762
55,"csp_8_6","01029","Female",FALSE,"TYPEMR_4_4",76,"act-2-4","EDUC1.1",66.3729
59,"csp_7_7","01032","Male",FALSE,"TYPEMR_4_1",79,"act-2-1","EDUC1.3",94.5675
62,"csp_3_3","01032","Female",FALSE,"TYPEMR_1_2",61,"act-1-2","EDUC1.3",89.1223
65,"csp_5_2","01033","Female",FALSE,"TYPEMR_1_2",49,"act-1-1","EDUC1.3",67.1889
69,"csp_5_4","01033","Female",FALSE,"TYPEMR_4_1",39,"act-1-1","EDUC1.5",82.4015
73,"csp_2_1","01033","Female",FALSE,"TYPEMR_4_1",64,"act-1-1","EDUC1.4",84.0836
75,"csp_2_2","01033","Female",FALSE,"TYPEMR_1_2",64,"act-1-1","EDUC1.6",62.9342
76,"csp_6_2","01033","Male",FALSE,"TYPEMR_4_1",41,"act-1-1","EDUC1.3",77.8823
80,"csp_7_8","01033","Male",FALSE,"TYPEMR_4_4",58,"act-2-1","EDUC1.3",79.4936
86,"csp_5_4","01033","Male",FALSE,"TYPEMR_1_1",30,"act-1-2","EDUC1.5",84.3751
87,"csp_7_2","01033","Female",FALSE,"TYPEMR_4_4",88,"act-2-1","EDUC1.1",67.7914
88,"csp_7_7","01033","Female",FALSE,"TYPEMR_4_4",82,"act-2-1","EDUC1.1",75.5224
89,"csp_7_7","01033","Female",FALSE,"TYPEMR_4_4",80,"act-2-1","EDUC1.1",76.1882
90,"csp_5_2","01033","Female",FALSE,"TYPEMR_4_3",60,"act-1-1","EDUC1.3",85.683
91,"csp_7_8","01033","Male",FALSE,"TYPEMR_4_4",83,"act-2-1","EDUC2",89.6262
92,"csp_3_4","01033","Male",FALSE,"TYPEMR_1_1",54,"act-1-1","EDUC1.7",65.1847
94,"csp_2_2","01033","Male",FALSE,"TYPEMR_1_1",35,"act-1-1","EDUC1.8",84.5597
96,"csp_8_5","01034","Male",TRUE,"TYPEMR_4_1",15,"act-2-2","EDUC3",64.5398
97,"csp_4_3","01034","Male",TRUE,"TYPEMR_4_1",49,"act-1-1","EDUC1.7",47.4182
98,"csp_6_8","01034","Male",FALSE,"TYPEMR_4_1",52,"act-1-1","EDUC1.5",69.0284
101,"csp_8_4","01034","Female",TRUE,"TYPEMR_4_2",15,"act-2-2","EDUC1.1",59.3755
102,"csp_5_4","01034","Female",FALSE,"TYPEMR_4_1",59,"act-1-1","EDUC1.6",93.1415
104,"csp_4_2","01034","Female",FALSE,"TYPEMR_3_2",39,"act-1-1","EDUC1.6",58.1853
105,"csp_8_5","01034","Male",FALSE,"TYPEMR_4_2",29,"act-2-5","EDUC1.3",74.1683
106,"csp_7_2","01034","Male",FALSE,"TYPEMR_4_4",82,"act-2-1","EDUC1.3",68.4246
107,"csp_6_7","01034","Male",FALSE,"TYPEMR_4_1",31,"act-1-1","EDUC1.8",69.3977
108,"csp_4_2","01034","Female",FALSE,"TYPEMR_1_2",21,"act-1-1","EDUC1.7",63.1659
