"PERSON_ID","Emp_contract"
3,"TEMP|2|2"
6,"TEMP|1|6"
11,"TEMP|1|1"
17,"TEMP|1|6"
23,"TEMP|1|6"
25,"TEMP|1|6"
26,"TEMP|1|6"
41,"TEMP|1|6"
43,"TEMP|1|5"
65,"TEMP|1|6"
69,"TEMP|1|6"
73,"TEMP|2|2"
75,"TEMP|2|2"
76,"TEMP|1|6"
90,"TEMP|1|6"
92,"TEMP|1|6"
94,"TEMP|2|1"
97,"TEMP|1|6"
98,"TEMP|1|5"
102,"TEMP|1|6"
104,"TEMP|1|6"
107,"TEMP|1|6"
108,"TEMP|2|1"
109,"TEMP|1|6"
115,"TEMP|1|6"
116,"TEMP|1|6"
119,"TEMP|2|1"
120,"TEMP|1|5"
121,"TEMP|1|6"
128,"TEMP|1|6"
131,"TEMP|1|6"
139,"TEMP|1|6"
140,"TEMP|1|6"
146,"TEMP|1|6"
154,"TEMP|1|6"
162,"TEMP|2|2"
164,"TEMP|1|6"
165,"TEMP|2|2"
167,"TEMP|1|6"
175,"TEMP|1|6"
180,"TEMP|1|6"
181,"TEMP|1|6"
182,"TEMP|2|2"
188,"TEMP|1|6"
191,"TEMP|1|6"
193,"TEMP|1|5"
194,"TEMP|1|6"
196,"TEMP|1|1"
197,"TEMP|1|6"
198,"TEMP|1|6"
200,"TEMP|1|5"
201,"TEMP|1|6"
211,"TEMP|2|2"
213,"TEMP|1|6"
215,"TEMP|1|6"
222,"TEMP|1|6"
230,"TEMP|1|6"
231,"TEMP|1|6"
232,"TEMP|1|5"
242,"TEMP|1|6"
257,"TEMP|1|6"
261,"TEMP|1|6"
263,"TEMP|2|1"
264,"TEMP|1|6"
268,"TEMP|1|5"
269,"TEMP|1|2"
274,"TEMP|1|6"
275,"TEMP|1|6"
278,"TEMP|1|6"
283,"TEMP|1|6"
286,"TEMP|2|1"
289,"TEMP|1|6"
293,"TEMP|1|5"
298,"TEMP|1|6"
312,"TEMP|2|1"
316,"TEMP|2|1"
323,"TEMP|1|6"
326,"TEMP|1|6"
333,"TEMP|1|6"
335,"TEMP|1|6"
337,"TEMP|1|6"
341,"TEMP|2|2"
347,"TEMP|1|6"
356,"TEMP|1|6"
357,"TEMP|1|6"
360,"TEMP|1|6"
364,"TEMP|1|6"
369,"TEMP|1|6"
380,"TEMP|1|6"
383,"TEMP|1|5"
386,"TEMP|1|6"
387,"TEMP|1|6"
409,"TEMP|2|2"
410,"TEMP|1|6"
411,"TEMP|1|6"
419,"TEMP|1|6"
421,"TEMP|1|6"
422,"TEMP|1|6"
429,"TEMP|1|6"
430,"TEMP|1|6"
436,"TEMP|1|6"
440,"TEMP|1|6"
442,"TEMP|1|6"
449,"TEMP|2|1"
451,"TEMP|1|6"
454,"TEMP|1|6"
460,"TEMP|1|6"
462,"TEMP|1|6"
463,"TEMP|1|6"
477,"TEMP|1|6"
480,"TEMP|1|6"
482,"TEMP|1|6"
488,"TEMP|1|5"
493,"TEMP|1|6"
503,"TEMP|1|6"
507,"TEMP|2|1"
508,"TEMP|1|6"
510,"TEMP|1|6"
513,"TEMP|1|6"
526,"TEMP|1|6"
527,"TEMP|1|6"
528,"TEMP|1|6"
534,"TEMP|1|6"
538,"TEMP|1|6"
547,"TEMP|1|6"
553,"TEMP|1|6"
576,"TEMP|1|6"
582,"TEMP|1|6"
583,"TEMP|2|1"
585,"TEMP|1|6"
596,"TEMP|1|6"
600,"TEMP|2|1"
602,"TEMP|2|2"
604,"TEMP|1|1"
608,"TEMP|2|1"
610,"TEMP|1|6"
614,"TEMP|1|6"
616,"TEMP|1|6"
617,"TEMP|1|6"
622,"TEMP|1|6"
629,"TEMP|1|6"
634,"TEMP|1|6"
637,"TEMP|1|6"
639,"TEMP|1|6"
643,"TEMP|1|6"
646,"TEMP|1|6"
647,"TEMP|2|1"
652,"TEMP|1|6"
653,"TEMP|1|6"
656,"TEMP|1|6"
676,"TEMP|1|6"
682,"TEMP|1|6"
683,"TEMP|1|6"
685,"TEMP|1|6"
686,"TEMP|1|6"
697,"TEMP|1|6"
700,"TEMP|1|5"
709,"TEMP|1|6"
716,"TEMP|2|1"
724,"TEMP|1|1"
728,"TEMP|1|6"
730,"TEMP|1|6"
731,"TEMP|1|5"
736,"TEMP|1|6"
737,"TEMP|1|6"
741,"TEMP|1|2"
744,"TEMP|2|1"
748,"TEMP|1|6"
752,"TEMP|1|6"
759,"TEMP|1|6"
760,"TEMP|1|6"
762,"TEMP|1|5"
769,"TEMP|1|1"
770,"TEMP|1|6"
772,"TEMP|1|6"
774,"TEMP|1|6"
775,"TEMP|1|6"
778,"TEMP|1|6"
784,"TEMP|1|6"
791,"TEMP|1|2"
796,"TEMP|1|6"
797,"TEMP|1|6"
798,"TEMP|1|6"
799,"TEMP|1|6"
801,"TEMP|1|6"
804,"TEMP|1|5"
806,"TEMP|1|6"
812,"TEMP|1|6"
821,"TEMP|1|3"
826,"TEMP|1|6"
827,"TEMP|1|6"
828,"TEMP|1|6"
834,"TEMP|1|6"
835,"TEMP|1|5"
840,"TEMP|1|6"
855,"TEMP|1|6"
862,"TEMP|2|1"
867,"TEMP|2|1"
868,"TEMP|1|6"
872,"TEMP|1|6"
875,"TEMP|1|6"
876,"TEMP|2|1"
881,"TEMP|1|6"
883,"TEMP|1|6"
887,"TEMP|1|6"
889,"TEMP|1|6"
897,"TEMP|1|6"
900,"TEMP|1|6"
901,"TEMP|1|6"
915,"TEMP|1|1"
921,"TEMP|1|6"
928,"TEMP|2|2"
929,"TEMP|1|6"
931,"TEMP|1|6"
932,"TEMP|1|6"
934,"TEMP|1|6"
935,"TEMP|1|6"
937,"TEMP|1|5"
938,"TEMP|1|6"
942,"TEMP|2|1"
948,"TEMP|1|6"
958,"TEMP|1|6"
964,"TEMP|1|6"
976,"TEMP|2|1"
986,"TEMP|1|1"
991,"TEMP|1|6"
992,"TEMP|1|6"
993,"TEMP|2|1"
1004,"TEMP|1|6"
1010,"TEMP|1|6"
1016,"TEMP|1|6"
1018,"TEMP|1|6"
1028,"TEMP|1|6"
1034,"TEMP|1|1"
1037,"TEMP|1|6"
1048,"TEMP|1|6"
1054,"TEMP|2|1"
1057,"TEMP|1|6"
1061,"TEMP|1|6"
1062,"TEMP|1|6"
1063,"TEMP|2|2"
1064,"TEMP|1|6"
1065,"TEMP|1|6"
1075,"TEMP|1|6"
1078,"TEMP|1|6"
1080,"TEMP|2|2"
1082,"TEMP|1|6"
1085,"TEMP|1|6"
1092,"TEMP|1|6"
1093,"TEMP|2|1"
1097,"TEMP|1|6"
1099,"TEMP|1|6"
1103,"TEMP|2|2"
1111,"TEMP|1|5"
1113,"TEMP|1|6"
1120,"TEMP|1|6"
1124,"TEMP|1|6"
1128,"TEMP|1|6"
1129,"TEMP|1|6"
1136,"TEMP|1|6"
1143,"TEMP|1|3"
1154,"TEMP|1|6"
1156,"TEMP|2|1"
1187,"TEMP|1|6"
1190,"TEMP|1|6"
1198,"TEMP|1|6"
1203,"TEMP|1|6"
1206,"TEMP|2|2"
1208,"TEMP|1|5"
1214,"TEMP|1|6"
1215,"TEMP|1|6"
1216,"TEMP|1|6"
1217,"TEMP|1|6"
1219,"TEMP|1|6"
1220,"TEMP|1|2"
1223,"TEMP|1|6"
1226,"TEMP|1|6"
1227,"TEMP|1|6"
1230,"TEMP|1|6"
1231,"TEMP|1|6"
1234,"TEMP|1|6"
1239,"TEMP|1|6"
1242,"TEMP|1|6"
1257,"TEMP|1|6"
1261,"TEMP|2|1"
1266,"TEMP|1|6"
1268,"TEMP|1|6"
1276,"TEMP|1|6"
1280,"TEMP|1|6"
1295,"TEMP|1|6"
1300,"TEMP|1|6"
1305,"TEMP|1|6"
1313,"TEMP|1|6"
1316,"TEMP|1|6"
1321,"TEMP|1|6"
1326,"TEMP|1|6"
1342,"TEMP|1|6"
1349,"TEMP|1|6"
1351,"TEMP|1|6"
1356,"TEMP|1|2"
1360,"TEMP|1|6"
1373,"TEMP|1|6"
1376,"TEMP|1|1"
1377,"TEMP|1|6"
1381,"TEMP|1|6"
1382,"TEMP|1|6"
1388,"TEMP|1|3"
1390,"TEMP|1|6"
1393,"TEMP|1|6"
1396,"TEMP|1|6"
1401,"TEMP|1|6"
1403,"TEMP|1|6"
1408,"TEMP|2|2"
1414,"TEMP|1|5"
1423,"TEMP|2|2"
1427,"TEMP|1|6"
1428,"TEMP|1|6"
1431,"TEMP|1|6"
1435,"TEMP|1|6"
1438,"TEMP|1|6"
1442,"TEMP|1|6"
1452,"TEMP|1|6"
1467,"TEMP|1|5"
1479,"TEMP|2|1"
1482,"TEMP|1|2"
1487,"TEMP|1|5"
1497,"TEMP|1|5"
1499,"TEMP|1|6"
1501,"TEMP|1|6"
1503,"TEMP|1|6"
1506,"TEMP|1|6"
1514,"TEMP|1|6"
1520,"TEMP|1|6"
1525,"TEMP|2|2"
1529,"TEMP|1|6"
1530,"TEMP|1|6"
1531,"TEMP|1|6"
1538,"TEMP|1|1"
1549,"TEMP|1|6"
1550,"TEMP|1|6"
1556,"TEMP|1|6"
1557,"TEMP|1|6"
1568,"TEMP|1|6"
1570,"TEMP|1|6"
1572,"TEMP|1|6"
1576,"TEMP|2|1"
1577,"TEMP|1|6"
1578,"TEMP|1|6"
1579,"TEMP|1|6"
1580,"TEMP|1|6"
1582,"TEMP|1|2"
1595,"TEMP|1|6"
1606,"TEMP|1|6"
1609,"TEMP|1|6"
1622,"TEMP|1|6"
1626,"TEMP|2|1"
1628,"TEMP|1|6"
1629,"TEMP|1|6"
1630,"TEMP|1|6"
1642,"TEMP|1|6"
1644,"TEMP|1|6"
1655,"TEMP|1|6"
1658,"TEMP|1|6"
1659,"TEMP|1|1"
1661,"TEMP|1|6"
1665,"TEMP|1|6"
1692,"TEMP|1|6"
1699,"TEMP|1|6"
1700,"TEMP|1|6"
1701,"TEMP|1|5"
1708,"TEMP|1|5"
1709,"TEMP|1|5"
1714,"TEMP|1|6"
1716,"TEMP|1|6"
1717,"TEMP|1|6"
1718,"TEMP|1|6"
1719,"TEMP|1|6"
1723,"TEMP|1|6"
1725,"TEMP|1|6"
1727,"TEMP|1|2"
1730,"TEMP|1|6"
1733,"TEMP|1|6"
1735,"TEMP|1|6"
1743,"TEMP|1|6"
1745,"TEMP|1|6"
1748,"TEMP|1|6"
1749,"TEMP|1|6"
1752,"TEMP|2|2"
1756,"TEMP|2|1"
1760,"TEMP|1|6"
1761,"TEMP|1|6"
1764,"TEMP|1|6"
1766,"TEMP|1|1"
1770,"TEMP|1|6"
1788,"TEMP|1|2"
1791,"TEMP|1|6"
1803,"TEMP|1|6"
1806,"TEMP|1|6"
1821,"TEMP|1|6"
1825,"TEMP|2|1"
1827,"TEMP|1|6"
1828,"TEMP|1|6"
1836,"TEMP|1|6"
1838,"TEMP|1|6"
1842,"TEMP|2|1"
1849,"TEMP|1|6"
1861,"TEMP|1|6"
1863,"TEMP|1|6"
1864,"TEMP|1|6"
1865,"TEMP|1|6"
1868,"TEMP|1|6"
1873,"TEMP|2|1"
1879,"TEMP|1|6"
1881,"TEMP|2|1"
1883,"TEMP|1|5"
1884,"TEMP|1|6"
1886,"TEMP|1|6"
1887,"TEMP|2|1"
1891,"TEMP|1|6"
1893,"TEMP|1|6"
1901,"TEMP|1|6"
1905,"TEMP|1|6"
1908,"TEMP|1|6"
1910,"TEMP|1|6"
1921,"TEMP|1|6"
