"PERSON_ID","Employee_count","contract_type","work_condition","job_category","ECONOMIC_SECTOR","PAY","Work_description","Company_category","Working_hours","job_dep"
6,"tr_4","CDI","C","O","QB",27531,"525d","ct_8",1805,"69"
17,"tr_4","CDI","C","O","CA",14550,"625d","ct_9",869,"01"
23,"tr_2","CDI","C","O","GZ",24459,"634a","ct_9",1714,"01"
25,"tr_3","CDI","C","O","CH",29938,"477b","ct_9",2050,"71"
41,"tr_5","CDI","C","O","LZ",16771,"684a","ct_5",1756,"01"
43,"tr_6","CDD","C","O","QA",19593,"525d","ct_3",1820,"01"
65,"tr_1","CDI","C","O","NZ",24870,"526b","ct_9",1527,"01"
69,"tr_5","CDI","C","O","IZ",18095,"543b","ct_9",1628,"01"
76,"tr_5","CDI","C","O","CG",32904,"628a","ct_9",1827,"01"
90,"tr_5","CDI","C","O","QA",19937,"526a","ct_8",1454,"01"
92,"tr_1","CDI","P","O","GZ",40895,"344d","ct_9",2287,"01"
98,"tr_1","TTP","N","O","NZ",19237,"681a","ct_9",1616,"71"
102,"tr_6","CDI","P","O","OZ",23377,"545d","ct_8",1517,"69"
104,"tr_1","CDI","C","O","PZ",22895,"422e","ct_8",1590,"01"
107,"tr_3","CDI","C","O","CH",11161,"673a","ct_9",797,"01"
115,"tr_5","CDI","C","O","QA",23792,"526a","ct_8",1879,"01"
116,"tr_1","CDI","C","O","CG",20316,"685a","ct_9",2028,"01"
121,"tr_5","CDI","P","O","NZ",9843,"684a","ct_9",1144,"74"
128,"tr_5","CDI","C","O","MA",19452,"461f","ct_9",750,"26"
131,"tr_3","CDI","C","O","QB",31102,"434a","ct_8",1910,"69"
139,"tr_6","CDI","C","O","CL",26255,"673c","ct_9",1417,"69"
140,"tr_4","CDI","C","O","RZ",17387,"461d","ct_9",1071,"01"
146,"tr_1","CDI","C","O","FZ",22233,"461b","ct_9",1578,"69"
154,"tr_4","CDI","C","O","CL",35574,"474c","ct_9",1702,"01"
164,"tr_1","CDI","C","O","BZ",10533,"621g","ct_9",402,"38"
175,"tr_2","CDI","C","O","CA",17636,"674b","ct_9",1820,"01"
180,"tr_4","CDI","C","O","QB",19161,"526a","ct_8",1679,"01"
181,"tr_4","CDI","C","O","CA",11105,"674c","ct_9",1464,"01"
188,"tr_2","CDI","C","O","QA",3373,"541c","ct_6",341,"01"
191,"tr_3","CDI","C","O","QB",17935,"526d","ct_8",1850,"74"
193,"tr_6","CDD","P","O","OZ",10627,"422e","ct_1",1201,"01"
194,"tr_3","CDI","P","O","QB",10507,"563b","ct_8",1082,"01"
196,"tr_4","APP","C","A","IZ",9905,"683a","ct_9",457,"01"
197,"tr_2","CDI","P","O","GZ",8874,"554e","ct_9",1162,"69"
198,"tr_6","CDI","P","O","KZ",11816,"467b","ct_9",819,"69"
200,"tr_5","AUT","C","O","QA",20379,"526a","ct_3",1826,"01"
201,"tr_5","CDI","C","O","GZ",19048,"551a","ct_9",1839,"01"
213,"tr_3","CDI","C","O","HZ",39225,"451g","ct_2",1820,"01"
215,"tr_5","CDI","C","O","QB",48030,"431a","ct_8",1820,"01"
222,"tr_3","CDI","C","O","CA",40111,"484a","ct_9",448,"01"
230,"tr_1","CDI","C","O","IZ",3640,"636d","ct_9",265,"01"
231,"tr_6","CDI","C","O","CK",23482,"484b","ct_9",1820,"01"
232,"tr_1","CDD","P","O","IZ",4743,"561c","ct_6",500,"01"
242,"tr_5","CDI","C","O","QB",29819,"431f","ct_8",1820,"01"
257,"tr_4","CDI","C","O","CC",19706,"627d","ct_9",1846,"01"
261,"tr_3","CDI","C","O","GZ",22592,"556a","ct_9",1788,"01"
264,"tr_3","CDI","C","O","HZ",22516,"641a","ct_9",2200,"38"
269,"tr_6","CDD","C","O","QA",18690,"526a","ct_3",1819,"01"
274,"tr_3","CDI","C","O","PZ",33105,"341a","ct_8",1818,"74"
275,"tr_6","CDI","C","O","LZ",18842,"461f","ct_9",1768,"01"
278,"tr_2","CDI","C","O","FZ",15771,"681b","ct_9",1773,"01"
283,"tr_6","CDI","C","O","CG",41850,"385b","ct_9",1738,"01"
289,"tr_3","CDI","C","O","CH",19029,"674d","ct_9",936,"01"
293,"tr_2","CDD","P","O","CA",3310,"554a","ct_9",291,"01"
298,"tr_3","CDI","C","O","FZ",29423,"681a","ct_9",1599,"01"
323,"tr_3","CDI","C","O","GZ",20894,"462b","ct_9",1757,"01"
326,"tr_3","CDI","C","O","MA",31455,"461d","ct_9",1851,"69"
337,"tr_4","CDI","P","O","OZ",42633,"333e","ct_1",1443,"69"
347,"tr_1","CDI","C","O","FZ",18634,"681a","ct_9",1067,"01"
356,"tr_6","CDI","C","O","CH",11469,"626b","ct_9",913,"01"
357,"tr_4","CDI","C","O","QA",21608,"433a","ct_8",1677,"69"
364,"tr_2","CDI","C","O","FZ",9750,"461b","ct_9",594,"01"
369,"tr_3","CDI","C","O","HZ",21581,"451a","ct_9",1853,"01"
380,"tr_2","CDI","C","O","IZ",10342,"561c","ct_9",1201,"01"
383,"tr_6","CDD","P","O","QB",2790,"563b","ct_8",282,"01"
386,"tr_1","CDI","P","O","GZ",23475,"433d","ct_9",1579,"01"
387,"tr_0","CDI","C","O","CI",17254,"622a","ct_9",1399,"01"
410,"tr_3","CDI","C","O","CL",34237,"474c","ct_9",1942,"69"
411,"tr_1","CDI","C","O","SZ",38216,"373d","ct_8",1820,"01"
419,"tr_4","CDI","C","O","PZ",29765,"341a","ct_8",1820,"01"
421,"tr_3","CDI","C","O","GZ",27937,"461d","ct_9",1747,"01"
422,"tr_3","CDI","C","O","NZ",40317,"372c","ct_9",1820,"86"
429,"tr_6","CDI","P","O","QA",10281,"344a","ct_8",182,"69"
430,"tr_1","CDI","C","O","MA",36954,"388d","ct_9",1320,"69"
440,"tr_4","CDI","C","O","GZ",36526,"387f","ct_9",1391,"69"
442,"tr_4","CDI","C","O","PZ",26970,"461b","ct_8",1442,"69"
451,"tr_3","CDI","C","O","HZ",20090,"451a","ct_9",1815,"01"
454,"tr_5","CDI","C","O","LZ",25098,"461d","ct_9",1820,"69"
460,"tr_5","CDI","C","O","CH",20654,"653a","ct_9",1820,"01"
462,"tr_3","CDI","C","O","KZ",51099,"376c","ct_9",1820,"13"
463,"tr_1","CDI","C","O","FZ",3318,"632g","ct_9",455,"01"
477,"tr_1","CDI","C","O","GZ",19402,"643a","ct_9",1628,"01"
480,"tr_3","CDI","C","O","FZ",26545,"632f","ct_9",1711,"01"
482,"tr_1","CDI","C","O","NZ",41439,"373d","ct_9",1820,"92"
488,"tr_5","AUT","P","O","PZ",22102,"422b","ct_1",1517,"38"
493,"tr_3","CDI","C","O","CK",36046,"384a","ct_9",1863,"01"
508,"tr_3","CDI","P","O","EZ",7445,"684b","ct_9",664,"01"
510,"tr_6","CDI","C","O","DZ",26715,"423b","ct_9",1747,"01"
513,"tr_5","CDI","C","O","GZ",23487,"636c","ct_9",1879,"01"
526,"tr_4","CDI","C","O","HZ",22171,"641a","ct_9",2109,"69"
527,"tr_1","CDI","C","O","IZ",7619,"488a","ct_9",107,"38"
528,"tr_1","CDI","C","O","FZ",25795,"632a","ct_9",1820,"71"
534,"tr_5","CDI","C","O","GZ",27676,"462b","ct_9",1657,"71"
538,"tr_1","CDI","P","O","KZ",17791,"526b","ct_9",1277,"01"
547,"tr_3","CDI","C","O","FZ",20343,"632j","ct_9",1635,"69"
553,"tr_6","CDI","C","O","CK",27903,"673c","ct_9",1820,"69"
582,"tr_5","CDI","C","O","CH",33396,"474b","ct_9",1825,"01"
585,"tr_1","CDI","P","O","KZ",15675,"542a","ct_9",1621,"01"
610,"tr_6","CDI","C","O","MA",23508,"628b","ct_9",1799,"01"
614,"tr_2","CDI","C","O","QB",18365,"434c","ct_8",1730,"01"
616,"tr_4","CDI","C","O","CH",11401,"623b","ct_9",1381,"38"
617,"tr_3","CDI","C","O","QB",18398,"543g","ct_8",1764,"01"
622,"tr_2","CDI","C","O","GZ",36103,"344d","ct_9",1834,"01"
629,"tr_1","CDI","C","O","CH",27894,"673a","ct_9",2020,"69"
634,"tr_1","CDI","P","O","QA",13564,"526e","ct_9",1482,"01"
637,"tr_4","CDI","C","O","QB",16028,"525d","ct_8",1820,"01"
639,"tr_4","CDI","C","O","GZ",26448,"461d","ct_9",1820,"01"
643,"tr_1","CDI","C","O","CH",23466,"673a","ct_9",1815,"71"
646,"tr_1","CDI","C","O","JC",18550,"478b","ct_9",2028,"01"
652,"tr_2","CDI","C","O","QB",27487,"431b","ct_8",1725,"01"
653,"tr_4","CDI","C","O","QA",17978,"526a","ct_8",1843,"01"
656,"tr_3","CDI","P","O","QB",17329,"563b","ct_8",1506,"01"
676,"tr_3","CDI","C","O","NZ",15899,"676e","ct_9",1769,"01"
683,"tr_1","CDI","C","O","HZ",14783,"485a","ct_9",1029,"01"
686,"tr_1","CDI","C","O","CE",8032,"542a","ct_9",948,"01"
697,"tr_5","CDI","C","O","QA",17379,"432d","ct_8",1269,"01"
700,"tr_6","AUT","C","O","OZ",20376,"525b","ct_2",1820,"01"
709,"tr_5","CDI","C","O","MA",26892,"373c","ct_9",1726,"01"
728,"tr_5","CDI","C","O","QA",25107,"525d","ct_3",1820,"69"
730,"tr_4","CDI","C","O","PZ",4024,"422c","ct_8",154,"01"
731,"tr_5","AUT","C","O","OZ",16996,"531a","ct_1",1820,"01"
736,"tr_3","CDI","C","O","PZ",31943,"341a","ct_8",1818,"74"
737,"tr_5","CDI","C","O","QA",25586,"526a","ct_8",1795,"01"
748,"tr_6","CDI","C","O","CL",68078,"387c","ct_9",1794,"01"
752,"tr_1","CDI","P","O","QA",12177,"526e","ct_9",1482,"01"
759,"tr_3","CDI","P","O","GZ",4338,"554j","ct_9",619,"01"
760,"tr_0","CDI","N","O","QB",3416,"563a","ct_7",1067,"01"
762,"tr_1","TTP","C","O","NZ",4105,"674c","ct_9",528,"01"
770,"tr_6","CDI","C","O","LZ",21543,"461b","ct_9",1761,"01"
772,"tr_1","CDI","C","O","SZ",15124,"562b","ct_9",1595,"01"
774,"tr_3","CDI","C","O","EZ",22557,"487b","ct_9",2070,"01"
775,"tr_5","CDI","C","O","OZ",26850,"461d","ct_8",2044,"71"
778,"tr_4","CDI","C","O","HZ",31352,"534a","ct_9",2104,"71"
784,"tr_3","CDI","C","O","CG",33245,"387d","ct_9",1806,"01"
791,"tr_1","TTP","P","O","NZ",25454,"676e","ct_9",1862,"39"
796,"tr_1","CDI","C","O","IZ",10625,"636d","ct_9",586,"01"
797,"tr_0","CDI","C","O","QA",17355,"526e","ct_9",1579,"69"
798,"tr_4","CDI","C","O","QB",24437,"431f","ct_8",1183,"01"
799,"tr_3","CDI","C","O","GZ",29751,"461b","ct_9",1533,"01"
801,"tr_3","CDI","P","O","QB",15913,"432d","ct_8",1092,"01"
804,"tr_3","CDD","C","O","QB",4769,"525d","ct_8",474,"01"
806,"tr_3","CDI","P","O","HZ",7609,"641b","ct_5",504,"01"
812,"tr_2","CDI","C","O","QA",14650,"526e","ct_9",1569,"71"
821,"tr_3","AUT","C","X","QB",9910,"525d","ct_3",1006,"01"
826,"tr_6","CDI","C","O","QA",17389,"525d","ct_9",1820,"01"
827,"tr_4","CDI","C","O","HZ",14263,"643a","ct_9",1654,"01"
835,"tr_2","AUT","P","O","OZ",12520,"524c","ct_2",1565,"01"
840,"tr_3","CDI","C","O","CH",14921,"622c","ct_9",1184,"01"
855,"tr_3","CDI","C","O","FZ",16590,"632a","ct_9",1672,"69"
868,"tr_3","CDI","C","O","FZ",26376,"461d","ct_9",1820,"01"
872,"tr_3","CDI","C","O","NZ",25160,"543f","ct_9",1855,"01"
875,"tr_6","CDI","C","O","DZ",32749,"461f","ct_9",1854,"01"
881,"tr_5","CDI","C","O","CH",22565,"628c","ct_9",1495,"01"
883,"tr_4","CDI","C","O","CC",19059,"641a","ct_9",1245,"01"
887,"tr_1","CDI","C","O","GZ",38350,"554f","ct_9",1506,"01"
889,"tr_3","CDI","C","O","GZ",28402,"461b","ct_9",1533,"01"
897,"tr_1","CDI","P","O","GZ",44153,"344d","ct_9",2287,"01"
900,"tr_1","CDI","C","O","HZ",32681,"466c","ct_9",2098,"01"
901,"tr_4","CDI","C","O","PZ",34179,"341a","ct_8",1887,"69"
915,"tr_1","APP","C","A","CA",10922,"683a","ct_6",1974,"01"
929,"tr_6","CDI","C","O","HZ",28579,"481a","ct_9",1820,"69"
931,"tr_2","CDI","P","O","QB",14505,"434d","ct_8",1567,"01"
932,"tr_0","CDI","N","O","QB",3799,"563b","ct_7",276,"01"
934,"tr_5","CDI","C","O","CG",18438,"674a","ct_9",1618,"01"
935,"tr_1","CDI","C","O","HZ",35683,"487a","ct_9",2200,"69"
937,"tr_6","AUT","C","O","QA",22065,"526a","ct_3",1820,"69"
938,"tr_0","CDI","C","O","CA",15449,"554a","ct_9",1418,"01"
948,"tr_3","CDI","C","O","JB",23454,"478d","ct_9",1764,"69"
958,"tr_4","CDI","P","O","MA",20611,"461d","ct_8",1422,"01"
964,"tr_0","CDI","P","O","NZ",4776,"641b","ct_9",290,"21"
986,"tr_1","APP","C","A","GZ",10507,"683a","ct_9",1707,"01"
991,"tr_3","CDI","C","O","QB",21889,"526a","ct_9",1645,"38"
992,"tr_1","CDI","C","O","GZ",70493,"372a","ct_9",1506,""
1004,"tr_6","CDI","C","O","OZ",24437,"467d","ct_8",1797,"69"
1010,"tr_3","CDI","C","O","QB",30452,"526a","ct_8",2600,"01"
1016,"tr_5","CDI","C","O","NZ",13102,"684a","ct_9",1419,"01"
1018,"tr_0","CDI","P","O","KZ",17144,"433a","ct_9",1020,"69"
1028,"tr_6","CDI","C","O","HZ",22752,"543g","ct_9",1820,"02"
1034,"tr_4","APP","C","A","GZ",2905,"554a","ct_9",759,"60"
1037,"tr_1","CDI","C","O","HZ",5286,"642a","ct_6",395,"02"
1048,"tr_3","CDI","P","O","PZ",9755,"525b","ct_8",954,"02"
1057,"tr_5","CDI","C","O","CC",13813,"652a","ct_9",1468,"02"
1061,"tr_2","CDI","C","O","QA",22050,"526e","ct_9",2168,"02"
1065,"tr_1","CDI","C","O","IZ",16189,"681a","ct_9",1820,"02"
1082,"tr_4","CDI","C","O","CA",31862,"387c","ct_9",1820,"02"
1085,"tr_5","CDI","P","O","QB",12930,"524c","ct_2",1321,"02"
1092,"tr_2","CDI","C","O","NZ",20051,"632k","ct_9",1939,"60"
1097,"tr_4","CDI","P","O","RZ",5778,"424a","ct_5",347,"51"
1099,"tr_6","CDI","C","O","KZ",25460,"467a","ct_9",1568,"92"
1113,"tr_1","CDI","C","O","SZ",15489,"562b","ct_9",1459,"77"
1120,"tr_6","CDI","C","O","GZ",17715,"632k","ct_9",1754,"02"
1124,"tr_3","CDI","C","O","GZ",16330,"676c","ct_9",1826,"02"
1128,"tr_2","CDI","C","O","CH",21427,"673a","ct_9",2035,"02"
1129,"tr_6","CDI","P","O","QA",12521,"525d","ct_3",1061,"02"
1136,"tr_5","CDI","C","O","HZ",25138,"654b","ct_9",1183,"59"
1154,"tr_3","CDI","C","O","GZ",16461,"636a","ct_9",1693,"02"
1187,"tr_1","CDI","P","O","SZ",15765,"435b","ct_8",1081,"02"
1190,"tr_6","CDI","C","O","CH",27392,"477a","ct_9",1988,"02"
1198,"tr_1","CDI","N","O","QB",7866,"563a","ct_7",2894,"02"
1203,"tr_3","CDI","C","O","QB",18094,"526a","ct_8",1743,"02"
1208,"tr_1","AUT","C","O","OZ",25705,"451e","ct_1",1820,"02"
1215,"tr_3","CDI","C","O","KZ",31226,"467b","ct_9",1833,"51"
1216,"tr_3","CDI","C","O","MC",25865,"434c","ct_8",1813,"02"
1217,"tr_5","CDI","P","O","NZ",6352,"684a","ct_9",844,"93"
1219,"tr_6","CDI","C","O","NZ",16168,"534a","ct_9",1442,"75"
1220,"tr_1","TTP","C","O","NZ",2099,"676e","ct_9",203,"02"
1223,"tr_5","CDI","C","O","CA",31129,"382c","ct_9",1852,"02"
1226,"tr_4","CDI","C","O","PZ",38828,"341a","ct_8",1820,"02"
1227,"tr_4","CDI","P","O","QB",6558,"525d","ct_8",686,"02"
1230,"tr_1","CDI","C","O","RZ",11583,"424a","ct_9",1212,"02"
1231,"tr_4","CDI","C","O","CH",23508,"475b","ct_9",1905,"02"
1234,"tr_3","CDI","C","O","CH",25122,"673b","ct_9",1912,"77"
1239,"tr_6","CDI","C","O","KZ",36875,"467a","ct_9",1820,"51"
1242,"tr_4","CDI","C","O","QA",24780,"433a","ct_9",1820,"02"
1266,"tr_2","CDI","C","O","NZ",22689,"481a","ct_9",1379,"02"
1276,"tr_5","CDI","C","O","HZ",30392,"654b","ct_9",1691,"75"
1280,"tr_6","CDI","C","O","HZ",24560,"534a","ct_5",1960,"93"
1295,"tr_1","CDI","C","O","FZ",15730,"681b","ct_9",1792,"02"
1300,"tr_1","CDI","C","O","CA",13391,"554a","ct_9",1500,"02"
1305,"tr_5","CDI","C","O","LZ",29370,"543g","ct_5",1820,"02"
1313,"tr_5","CDI","P","O","QA",28417,"526a","ct_9",1073,"51"
1316,"tr_4","CDI","C","O","FZ",39258,"461d","ct_9",1813,"92"
1321,"tr_3","CDI","C","O","QB",27724,"434f","ct_8",1917,"02"
1326,"tr_3","CDI","C","O","QA",21186,"526e","ct_9",2017,"02"
