"PERSON_ID","Sports"
1,"FEDE|211"
3,"FEDE|211"
6,"FEDE|109"
11,"FEDE|102"
17,"FEDE|105"
20,"FEDE|106"
23,"FEDE|117"
25,"FEDE|117"
26,"FEDE|117"
43,"FEDE|111"
46,"FEDE|604"
65,"FEDE|101"
69,"FEDE|121"
73,"FEDE|105"
75,"FEDE|105"
76,"FEDE|102"
80,"FEDE|107"
86,"FEDE|102"
90,"FEDE|105"
92,"FEDE|107"
94,"FEDE|102"
97,"FEDE|121"
101,"FEDE|604"
102,"FEDE|108"
105,"FEDE|205"
108,"FEDE|109"
128,"FEDE|211"
134,"FEDE|108"
136,"FEDE|109"
139,"FEDE|107"
140,"FEDE|108"
141,"FEDE|108"
142,"FEDE|109"
146,"FEDE|121"
147,"FEDE|109"
148,"FEDE|108"
149,"FEDE|107"
152,"FEDE|101"
153,"FEDE|110"
154,"FEDE|107"
156,"FEDE|108"
162,"FEDE|107"
164,"FEDE|102"
165,"FEDE|102"
167,"FEDE|107"
169,"FEDE|109"
171,"FEDE|114"
174,"FEDE|108"
175,"FEDE|107"
180,"FEDE|121"
181,"FEDE|102"
182,"FEDE|102"
183,"FEDE|109"
185,"FEDE|121"
186,"FEDE|109"
188,"FEDE|121"
190,"FEDE|114"
191,"FEDE|102"
193,"FEDE|121"
194,"FEDE|102"
196,"FEDE|107"
197,"FEDE|121"
198,"FEDE|108"
200,"FEDE|102"
201,"FEDE|107"
204,"FEDE|114"
206,"FEDE|123"
222,"FEDE|121"
226,"FEDE|413"
261,"FEDE|108"
269,"FEDE|109"
283,"FEDE|242"
291,"FEDE|109"
293,"FEDE|211"
323,"FEDE|105"
326,"FEDE|101"
340,"FEDE|211"
350,"FEDE|402"
356,"FEDE|132"
359,"FEDE|105"
360,"FEDE|403"
364,"FEDE|408"
365,"FEDE|404"
370,"FEDE|121"
373,"FEDE|112"
374,"FEDE|101"
387,"FEDE|221"
394,"FEDE|604"
398,"FEDE|109"
400,"FEDE|105"
409,"FEDE|101"
410,"FEDE|101"
412,"FEDE|245"
414,"FEDE|111"
429,"FEDE|211"
448,"FEDE|401"
460,"FEDE|123"
462,"FEDE|111"
463,"FEDE|134"
468,"FEDE|401"
480,"FEDE|135"
486,"FEDE|603"
491,"FEDE|245"
502,"FEDE|211"
513,"FEDE|111"
526,"FEDE|117"
527,"FEDE|132"
528,"FEDE|119"
544,"FEDE|105"
547,"FEDE|114"
566,"FEDE|218"
569,"FEDE|113"
579,"FEDE|103"
598,"FEDE|402"
602,"FEDE|111"
607,"FEDE|117"
610,"FEDE|111"
616,"FEDE|127"
622,"FEDE|403"
625,"FEDE|604"
655,"FEDE|109"
656,"FEDE|102"
658,"FEDE|110"
665,"FEDE|109"
672,"FEDE|102"
676,"FEDE|102"
677,"FEDE|105"
678,"FEDE|108"
679,"FEDE|102"
681,"FEDE|108"
682,"FEDE|102"
683,"FEDE|124"
685,"FEDE|108"
686,"FEDE|102"
718,"FEDE|132"
728,"FEDE|123"
732,"FEDE|117"
734,"FEDE|111"
736,"FEDE|242"
744,"FEDE|107"
745,"FEDE|119"
748,"FEDE|107"
761,"FEDE|113"
762,"FEDE|133"
791,"FEDE|111"
793,"FEDE|601"
796,"FEDE|121"
808,"FEDE|115"
822,"FEDE|109"
823,"FEDE|402"
827,"FEDE|111"
835,"FEDE|401"
838,"FEDE|132"
840,"FEDE|102"
855,"FEDE|102"
904,"FEDE|111"
915,"FEDE|401"
921,"FEDE|103"
938,"FEDE|117"
960,"FEDE|113"
964,"FEDE|410"
971,"FEDE|604"
972,"FEDE|402"
974,"FEDE|401"
982,"FEDE|123"
983,"FEDE|123"
1007,"FEDE|211"
1010,"FEDE|402"
1028,"FEDE|128"
1040,"FEDE|124"
1057,"FEDE|242"
1061,"FEDE|117"
1079,"FEDE|243"
1086,"FEDE|124"
1099,"FEDE|111"
1124,"FEDE|242"
1149,"FEDE|604"
1150,"FEDE|106"
1151,"FEDE|107"
1153,"FEDE|101"
1154,"FEDE|105"
1156,"FEDE|107"
1158,"FEDE|106"
1160,"FEDE|106"
1163,"FEDE|102"
1165,"FEDE|107"
1179,"FEDE|109"
1183,"FEDE|604"
1185,"FEDE|119"
1186,"FEDE|109"
1187,"FEDE|109"
1217,"FEDE|115"
1220,"FEDE|418"
1270,"FEDE|107"
1278,"FEDE|115"
1285,"FEDE|119"
1289,"FEDE|102"
1302,"FEDE|604"
1310,"FEDE|111"
1321,"FEDE|111"
1333,"FEDE|402"
1342,"FEDE|111"
1352,"FEDE|123"
1361,"FEDE|126"
1370,"FEDE|113"
1382,"FEDE|261"
1384,"FEDE|245"
1389,"FEDE|109"
1395,"FEDE|111"
1403,"FEDE|102"
1404,"FEDE|108"
1408,"FEDE|106"
1410,"FEDE|114"
1413,"FEDE|114"
1414,"FEDE|105"
1418,"FEDE|101"
1419,"FEDE|105"
1420,"FEDE|106"
1423,"FEDE|102"
1427,"FEDE|114"
1428,"FEDE|114"
1431,"FEDE|102"
1434,"FEDE|604"
1435,"FEDE|102"
1438,"FEDE|102"
1441,"FEDE|106"
1442,"FEDE|102"
1444,"FEDE|108"
1465,"FEDE|133"
1466,"FEDE|402"
1467,"FEDE|402"
1477,"FEDE|111"
1484,"FEDE|134"
1498,"FEDE|209"
1499,"FEDE|111"
1552,"FEDE|111"
1558,"FEDE|109"
1560,"FEDE|402"
1561,"FEDE|604"
1564,"FEDE|111"
1572,"FEDE|111"
1580,"FEDE|212"
1582,"FEDE|108"
1584,"FEDE|209"
1586,"FEDE|102"
1588,"FEDE|108"
1590,"FEDE|209"
1591,"FEDE|102"
1592,"FEDE|108"
1594,"FEDE|108"
1595,"FEDE|118"
1599,"FEDE|107"
1601,"FEDE|102"
1602,"FEDE|107"
1606,"FEDE|118"
1609,"FEDE|113"
1611,"FEDE|102"
1612,"FEDE|108"
